Review ID,Author Name,Author URL,Rating,Date Formatted,Date Relative,Review Text,Page Number
Ci9DQUlRQUNvZENodHljRjlvT2xWNWJrOXVRemt0VG1NNE1GcExOblp3ZWxOb09IYxAB,Siriporn Prueksachat,https://www.google.com/maps/contrib/102089092356660551601/reviews?hl=th,1,19/09/2025,เดือนที่แล้ว,อาหารรสชาติแย่มาก แกงฮังเลหมูมีกลิ่น แกงฮังเลนึกว่าหมูพะโล้ กินต่อไม่ไหว ทอดมันแห้งมากเหมือนค้างคืน ก่อนทำได้ชิมก่อนไหมไม่มั่นใจ ไม่ซ้ำอย่างมากกกกกก ไม่อร่อยสักอย่าง รีวิวห้าดาวมาจากน้ำโค้กฟรีหมด นี่ก็ได้น้ำโค้กฟรี แต่พออาหารมาต้องคืนโค้ก แล้วแก้รีวิว เพราะไม่อร่อยเลย 😢,1
Ci9DQUlRQUNvZENodHljRjlvT2tVME5VVTFhMnRUVGtRd016VlZWMnBHWTNrMldFRRAB,Yoo Hooo,https://www.google.com/maps/contrib/102074589322203713714/reviews?hl=th,1,28/10/2025,สัปดาห์ที่แล้ว,อาหารเหมือนเวฟทุกเมนฟุ เวฟแล้ว เวฟอีก เวฟ จนแข็ง ไร้รสชาติ ราคาแพงมากๆ ถ้าเทียบกับ ปริมาณ และ คุณภาพ ลาบคั่ว คือไม่ได้เลยยย เหมือนกินหมูที่ค้างในตู้เย็น และมาเวฟซ้ำๆๆ จนมันแข็งมันแห้งไปหมด แถมไม่ตรงปก ไมืมีผักสด ตามปัาย ในเมนู ใครอยากลอง ก็มาลองค่ะ โอ้ยยยยยยย ใครอยากบริหารกราม เชิญค่ะ ถามว่ากินหมดไหม หมดทุกอย่างนะ เพราะน้ิอยและ เสียดายเงิน แต่ยกเว้นลาบคั่ว กินไม่ไหวจริงๆๆๆ,1
ChZDSUhNMG9nS0VJQ0FnTURnay1LMGRREAE,xyss fo,https://www.google.com/maps/contrib/116042215642839421190/reviews?hl=th,1,27/02/2025,8 เดือนที่แล้ว,แก้ไข* ปรับแก้เพิ่มดาวให้จากเดิม 1 ดาว เพราะทางร้านมีการขอโทษตอบกลับและจะยกเลิกเมนูที่มีปัญหา แก้ไขอีกครั้ง* ตรงที่บอกว่าจะมีการทำให้ใหม่ วันนั้นไม่มีพนักงานคนไหนมาพูด มาบอกอะไร หลังรับปูที่มีปัญหา จนกระทั่งช่วงคิดเงิน นั่งหาเส้นทางที่จะเดินทางไปที่อื่นต่อ “ไม่มีใครออกมาพูด มาบอกอะไรเลยซักคน” แก้ไขเรื่องอ่องปูแล้ว รบกวนทางร้านช่วยพิจารณาแก้ไขการรับมือเหตุการณ์ลักษณะนี้ของพนักงานด้วย edit รอบ 3 12 June 2025 - รีวิวนี้จะไม่เกิดขึ้น ถ้าพนักงานของคุณ รับมือด้วยการ ”ขอโทษและแจ้งว่าจะทำให้ใหม่“ ด้วยคำพูดออกมาจากปากเค้าเองกันจริงๆ เหตุการณ์ที่เกิดขึ้น มีแค่พนักงานชาย เดินหน้าบูดมารับปูแล้วยื่นให้ในครัวไป ย้ำอีกครั้งว่า “ก็ไม่มีใครออกมาแจ้งอะไร” คนคิดเงินก็ออกมาคิดเงินอย่างเดียว ดังนั้น ก็ไม่อาจทราบได้ว่า พนักงานคุณทำให้ใหม่ หรือเสิร์ฟให้โต๊ะอื่น - แล้วการที่ไม่มีใครในร้านออกมาอธิบายอะไร เรื่องอ่องปูจะไม่มีทางทราบได้ ว่ามีปัจจัยที่ควบคุมไม่ได้ ถ้าคุณเจ้าของไม่แจ้งมาในรีวิว ก็ไม่มีทางที่จะทราบจุดนี้ - ระบุแค่ว่า คุณเจ้าของร้านควรแก้ไขการรับมือของพนักงานสำหรับเหตุการณ์แบบนี้ แต่ดูจากการตอบกลับมาแล้ว เสียใจด้วยเรื่องพนักงานที่ลาออกและวิธีการสื่อสารของคุณ เสียใจที่ร้านคุณต้องถูกจดจำไปแบบนี้ด้วยจริงๆ และคนที่พิมพ์เอาสะใจ ไม่มีทางมาบอกว่าคุณยังแก้ไขได้ - สิ่งที่รีวิวไว้ก่อนหน้า ได้พิมพ์ทุกอย่างที่ต้องการจะสื่อสารไปหมดแล้ว “ไม่สะดวกใจที่จะรับเงินคืนจากทางคุณจริงๆ ” และหวังเป็นอย่างยิ่งว่าจะไม่มีอะไรให้ต้องมาพิมพ์ตรงนี้อีก ________________ อาหารรสชาติโอเค พนักงานหญิงที่มารับเมนูก็บริการดี แต่ที่ไม่โอเคคือ อ่องปูตักเจอหนอนขนสีดำ ไม่ทันได้ถ่ายไว้ เพราะเจอก็ตกใจ มีพนักงานชายรับปูที่มีหนอนไปด้วยสีหน้าหงิกงอ รับไปเฉยๆ ขอโทษซักนิด ก็ไม่มีใครพูด วันเสาร์ที่ร้านอื่นคนเยอะจนไม่มีที่นั่ง พาเพื่อนมาร้านนี้เพราะที่ว่างเหลือเยอะจะได้ให้เพื่อนมีที่นั่งกินข้าว เพื่อนชอบน้ำเงี้ยวร้านนี้มาก แต่น่าเสียดาย เหตุการณ์ที่เกิดขึ้น คงไม่แนะนำร้านกับใคร,1
Ci9DQUlRQUNvZENodHljRjlvT2xSQmNXTnNWRXN6TUhZd2FXSlhOV2xOV2xaTlRrRRAB,Nathanon Choeipattanakul,https://www.google.com/maps/contrib/113802170990294936997/reviews?hl=th,3,02/10/2025,เดือนที่แล้ว,บรรยากาศดี พนักงานดี อาหารเป็นอาหารเหนือแบบแกล้งๆ กินแก้อยาก,1
ChZDSUhNMG9nS0VJUFdwT1g5dG83M2ZBEAE,Cotton Caramel,https://www.google.com/maps/contrib/115442149931984809495/reviews?hl=th,5,11/05/2025,5 เดือนที่แล้ว,อร่อยค่ะ แต่ค่อนข้างเผ็ดสำหรับคนไม่กินเผ็ด ฮังเลไม่เหมือนที่เคยกิน เข้มข้นมาก อร่อยมาก ข้าวเหนียวนุ่มมากๆ,1
Ci9DQUlRQUNvZENodHljRjlvT2xackxVaDZkRFZhVURCMlprWm5UazlTU0dGYVdWRRAB,wanny wawa,https://www.google.com/maps/contrib/108878502391621761033/reviews?hl=th,5,26/08/2025,2 เดือนที่แล้ว,ไผมาแอ่วกรุงเทพ กึ้ดฮอดอาหารเหนือ กับข้าวเมืองลำๆ แวะมาที่ร้านข้าวซอยดอยคำเน้อ ลำขนาด 😘,1
ChZDSUhNMG9nS0VJQ0FnTURBcU9iRkdBEAE,Pattareeya T.,https://www.google.com/maps/contrib/103347980470655397719/reviews?hl=th,2,06/02/2025,9 เดือนที่แล้ว,"Just ok, taste mediocre Kao soi was bit too sweet, northern sausage was bland. very small portions. ลองข้าวซอยไก่ เนื้อไก่เปื่อยนุ่ม น้ำซุปออกหวานไป 80บาท ชามเล็กมากๆๆๆๆๆ สั่งแบบเซทด้วย มีข้าวซอยกับไส้อั่ว 140บาท ได้มา 4ชิ้นไม่อร่อย จืดไม่ได้กลิ่นรสสมุนไพรใดๆ ไม่แนะนำร้านนี้",1
Ci9DQUlRQUNvZENodHljRjlvT205TVlVUnFSbTVUYUdsRmFsZDFTelZCY2pGNWFGRRAB,Panitee P.,https://www.google.com/maps/contrib/105978102340618334854/reviews?hl=th,5,01/08/2025,3 เดือนที่แล้ว,ร้านน่ารัก รสชาติอร่อนมาก ๆ ชอบค่ะ จอดรถสวนหลวงสแควร์แล้วเดินมาได้ สะดวก,1
ChdDSUhNMG9nS0VKZUlqcGZadDZIczB3RRAB,Smile Again,https://www.google.com/maps/contrib/109574489388012140376/reviews?hl=th,5,24/05/2025,5 เดือนที่แล้ว,มาครั้งแรก อร่อยมากเลย เหมือนได้ไปเชียงใหม่ ไว้มาทานใหม่นะคะ 💖,1
Ci9DQUlRQUNvZENodHljRjlvT2xjemJVSm9ka1k0U2xKUFoyWlVVV051YVdaWGJrRRAB,ปิยะพร พุทธรัตน์,https://www.google.com/maps/contrib/117886909131186126023/reviews?hl=th,5,07/09/2025,2 เดือนที่แล้ว,อาหารอร่อย ราคาดี ร้านหาเจอง่าย เดินทางสะดวก สิบเต็มสิบ,1
