Review ID,Author Name,Author URL,Rating,Date Formatted,Date Relative,Review Text,Page Number
Ci9DQUlRQUNvZENodHljRjlvT2pZM1RuRkROemhsTmxGc1pYcHBVVTQyVkhjMFRHYxAB,Umesh W,https://www.google.com/maps/contrib/111926758423242191326/reviews?hl=en,5,11/09/2025,a month ago,"We came across this place while walking around the old city. There was a bit of a lineup when we went in the evening. Food looked really good so, we decided to have dinner there. There are few tables, a lot of them actually, and there is an electronic wait list, very cool. There are not many options on the menu, just a few items. We ordered the shrimp and the pork options, dry and wet, respectively. We watched the food being made, very fresh and very quick. Both the dishes were excellent and tasted excellent, very tasty. Definitely a restaurant I would go back to.",1
Ci9DQUlRQUNvZENodHljRjlvT2xRMFFWYzFSRlV0VlZCQk1EbFhSVXN0VURKaVkxRRAB,Andrew T,https://www.google.com/maps/contrib/112249467864955564596/reviews?hl=en,4,19/10/2025,3 weeks ago,"excellent queue system, easy to navigate. queued and got a number, sat down and was served under 10 mins. suki was delicious, stir-fried with fresh cabbage and the dipping sauce is a must. this dish is unique, doesn't have a strong flavour but has a nice note of pepper and saltiness - not a dish for everyone but i certainly enjoyed this. pretty reasonable price too.",1
Ci9DQUlRQUNvZENodHljRjlvT2pWUVJXUkliMlpDUlhseWJ6UXllVWhHWTIxUVJYYxAB,The Wandering Tofu,https://www.google.com/maps/contrib/115834727300387654208/reviews?hl=en,4,23/10/2025,2 weeks ago,"If you’ve ever wondered how far humans will go for a bowl of sizzling suki yaki, welcome to Suki Changphuak, the legendary night-market stall sitting by the Chang Phuak Gate. Rumor has it this place has been firing up woks for decades The queue speaks Michelin vibes. The cook is a street-vendor-masterchef, and they run a fully computed cashier + ticket numbering system — because chaos must be managed when hungry humans descend. We joined a line that looked like a pool of polar bears sensing food in the arctic summer. If you’re already starving, please don’t start here—hangry breakdowns may occur. 🤣 ⏱ Our waiting time: 45 minutes 🎯 Our prize: Mixed Seafood and beef Suki Yaki — smoky, savory, slightly charred noodles with juicy prawns, squid and veggies. Best with a hint of spice from the chilly dip Top tip: While waiting, grab snacks and beers from the neighboring stalls or treat yourself to a bualoy (sweet glutinous rice balls) from the vendor opposite. It makes the line-watching and noodle-counting more meaningful.",1
Ci9DQUlRQUNvZENodHljRjlvT2xCT1dreDFVMFl3UlZCalpIZ3hTV1Z1U1RSNWIwRRAB,Pongpit Pinsai,https://www.google.com/maps/contrib/110721369929701860136/reviews?hl=en,4,23/10/2025,2 weeks ago,"• A famous Thai-style sukiyaki restaurant. The original branch can get very crowded, especially during peak hours. A good alternative is to visit another branch or order through a delivery app, the rider mentioned there’s even a special lane for delivery orders. • The overall taste is good, with the highlight being the quality of the meat and the smoky aroma from the pan-fried cooking style. • If you visit with normal expectations, it’s a 5-star experience, but if you come with high expectations, it might feel more like 3 stars.",1
Ci9DQUlRQUNvZENodHljRjlvT21NNVRqTnpPSE5uTUdVMGMyeHdNRk51Vm1GMmFIYxAB,Boom J,https://www.google.com/maps/contrib/101081350230322678317/reviews?hl=en,4,08/10/2025,a month ago,"This is one of my favorite restaurants that I always visit every time I come to Chiang Mai. However, this branch was a bit disappointing. I usually go to the Green Park branch the aroma from the pan there is much better, though the dipping sauce tastes the same. The boiled liver here was done perfectly, very delicious. I still like the restaurant overall, but next time I’ll probably go back to the Green Park branch.",1
Ci9DQUlRQUNvZENodHljRjlvT21KalgwUTRRWFptVUc1Rk5HeFJRbGRoTXpscVNGRRAB,Miki T.,https://www.google.com/maps/contrib/102525314602928796321/reviews?hl=en,5,25/08/2025,2 months ago,"It’s a must-try if you want to have local street food in Chiang Mai. This one is the original brunch that has been open for over 30 years. The queue would be long so we recommend reserving via the app QueQ in advance. My favorite is always Dried Suki with beef (extra) that is perfectly cooked and aroma smell of smoke. Meat is seasoned well and tender while veggies are also cooked well and crispy. The price is so reasonable with great ingredients. You can add more toppings like extra-meat, veggies or glass noodle as you desire.",1
Ci9DQUlRQUNvZENodHljRjlvT205cllXTkRTRmsyUWxCbVdXdEZiVzlVUTNWa1dIYxAB,Kittitat Kiattanavith,https://www.google.com/maps/contrib/105954674103335256781/reviews?hl=en,5,22/10/2025,2 weeks ago,Prob most famous suki(was originally a hot pot but they do stir-fry style)in chiang mai. If there is a long waiting line i recommend to order to-go and find some place to enjoy it. I like dry stir-fry style suki with all the condiment.,1
Ci9DQUlRQUNvZENodHljRjlvT2s1R2FGcDNiMTloZVZCbk5HNU9WMVp6TWt4ZloxRRAB,sakura_lotus,https://www.google.com/maps/contrib/108016885375336780023/reviews?hl=en,5,16/06/2025,4 months ago,"It’s bustling with people tourist and locals alike + food courier guys. Our hotel was nearby and while we were going to the pharmacy we passed by the night market. We were curious of the long queue and decided to try this one 😋 perfect for a chilly, rainy night. This was one of my favorite dish so far during my Thailand trip - I’m not a fan of spicy food. It’s a good thing that they’re providing a separate spicy condiment as to how you want your soup taste like. It’s nice to have a little kick by putting in some. 🙂 very tasty and pair up with Lookchin or Chang Beer!! 🍻",1
Ci9DQUlRQUNvZENodHljRjlvT2pOcVdURXdObGRHUW5SbWIxRllSazFQVmkxblUzYxAB,Randy P,https://www.google.com/maps/contrib/116366118299166208011/reviews?hl=en,5,26/10/2025,2 weeks ago,Waited for 2hrs ..... BUT it's really good. Not sure if I would wait for another 2 hrs next time. But food is really good and service is great too.,1
ChdDSUhNMG9nS0VJQ0FnTUN3eVBybXp3RRAB,Roald Willemsen,https://www.google.com/maps/contrib/110326658269726281729/reviews?hl=en,5,16/03/2025,7 months ago,Great street food!! The hype is definitely real on this place. It is extremely busy every day of the week at every time they open up. So be prepared to wait at least 10-20 minutes for your order. But it is well worth it. The stir fried dish with pork is absolutely delicious and very cheap as well. Very tasty and very filling. Not too spicy but amazing in flavour. They got the whole system figured out with a wel organised line of people creating these great dishes. Eating there or take away are both amazing options. First order your dish and tell them if you want to be seated on the market or take it with you to eat wherever. Then watch how they go to work. An amazing street food vendor with the most delicious stir fry.,1
